nForelesning;nOppmote;nFysisk;nDigital;pOppmote;pFysisk;pDigital;timer;snitt
2.00;2.00;2.00;0.00;1;1;0;7.00;4.00
6.00;4.00;0.00;4.00;0.666666667;0;1;3.00;3.40
6.00;4.00;2.00;2.00;0.666666667;0.5;0.5;6.00;4.00
6.00;4.00;3.00;1.00;0.666666667;0.75;0.25;4.00;4.00
2.00;2.00;2.00;0.00;1;1;0;4.00;4.00
7.00;1.00;1.00;0.00;0.142857143;1;0;8.00;4.00
9.00;4.00;3.00;1.00;0.444444444;0.75;0.25;8.00;4.00
10.00;3.00;0.00;3.00;0.3;0;1;10.00;4.20
7.00;7.00;5.00;2.00;1;0.714285714;0.285714286;8.00;4.00
6.00;4.00;3.00;1.00;0.666666667;0.75;0.25;7.00;4.50
7.00;6.00;3.00;3.00;0.857142857;0.5;0.5;9.00;3.71
7.00;5.00;5.00;0.00;0.714285714;1;0;4.00;3.80
